,datetime,capital,trade_pnl,running_max,drawdown
0,2022-10-13 11:00:00-04:00,100016.809192,16.80919199999998,100016.809192,0.0
1,2022-10-14 12:00:00-04:00,100034.302468,17.49327599999998,100034.302468,0.0
2,2022-10-28 14:00:00-04:00,100052.24438799999,17.941919999999936,100052.24438799999,0.0
3,2022-11-02 15:00:00-04:00,100070.123524,17.87913599999995,100070.123524,0.0
4,2022-11-30 14:00:00-05:00,100088.510818,18.38729400000004,100088.510818,0.0
5,2022-12-13 11:00:00-05:00,100107.82156,19.310741999999973,100107.82156,0.0
6,2022-12-22 13:00:00-05:00,100125.353422,17.531862000000064,100125.353422,0.0
7,2023-02-01 15:00:00-05:00,100144.590262,19.236840000000004,100144.590262,0.0
8,2023-02-09 15:00:00-05:00,100164.677956,20.087694000000045,100164.677956,0.0
9,2023-03-16 15:00:00-04:00,100184.248336,19.570380000000092,100184.248336,0.0
10,2023-08-24 15:00:00-04:00,100200.35772,16.109384000000045,100200.35772,0.0
11,2023-10-06 13:00:00-04:00,100215.870656,15.51293599999998,100215.870656,0.0
12,2024-04-04 15:00:00-04:00,100235.286228,19.415571999999994,100235.286228,0.0
13,2024-04-15 13:00:00-04:00,100254.508652,19.22242399999997,100254.508652,0.0
14,2024-07-11 13:00:00-04:00,100265.452716,10.944064000000038,100265.452716,0.0
15,2024-08-05 12:00:00-04:00,100284.28928,18.83656400000006,100284.28928,0.0
16,2024-09-03 15:00:00-04:00,100304.78569599999,20.49641600000004,100304.78569599999,0.0
17,2024-12-20 11:00:00-05:00,100315.914624,11.128927999999966,100315.914624,0.0
18,2025-03-03 15:00:00-05:00,100326.942182,11.02755800000001,100326.942182,0.0
19,2025-03-10 14:00:00-04:00,100347.904682,20.96250000000007,100347.904682,0.0
20,2025-04-07 10:00:00-04:00,100366.06108599999,18.156404000000013,100366.06108599999,0.0
21,2025-04-09 13:00:00-04:00,100384.40932999998,18.348244000000072,100384.40932999998,0.0
22,2025-04-10 12:00:00-04:00,100404.03200199998,19.622672000000055,100404.03200199998,0.0
