profit_target,mode,total_trades,total_return_pct,sortino_ratio,sharpe_ratio,max_drawdown,calmar_ratio,win_rate,final_value,phase,ticker,timestamp
0.5,both,525,-0.1879969099440059,-24.81775133763052,-22.244797680073752,-0.002650355612273751,-0.3485022228944748,59.42857142857143,99812.003090056,training,QQQ,20250925_145009
0.5,buy,275,-0.016488561006612144,-21.889274001460446,-21.397846360856324,-0.0008203525708776303,-0.2284496600610224,63.63636363636363,99983.51143899339,training,QQQ,20250925_145009
0.5,sell,250,-0.17103859503059357,-28.375856096908635,-23.20731280578587,-0.0022027172059268458,-0.8040743705064841,54.800000000000004,99828.9614049694,training,QQQ,20250925_145009
0.8,both,525,-0.08284919603957677,-25.139942268294355,-19.522769041005972,-0.0022537132119413977,-0.1906512223562829,52.57142857142857,99917.15080396042,training,QQQ,20250925_145009
0.8,buy,275,0.05678417710578652,-21.91626465534869,-18.623180750484444,-0.0006959804329688805,0.6665614679430942,57.45454545454546,100056.78417710579,training,QQQ,20250925_145009
0.8,sell,250,-0.13670391303057838,-29.034904173287288,-20.557887116110336,-0.002346763432783527,-0.6174418793253165,47.199999999999996,99863.29608696942,training,QQQ,20250925_145009
1.0,both,525,0.023891346241973224,-24.630338727814852,-18.149550313633732,-0.0018596898720865897,0.040702172696666095,51.8095238095238,100023.89134624197,training,QQQ,20250925_145009
1.0,buy,275,0.10444854327254871,-21.621205874671823,-17.42955517330573,-0.000728984278148966,1.2170385940651693,56.36363636363636,100104.44854327255,training,QQQ,20250925_145009
1.0,sell,250,-0.08055719703059003,-28.310541782329842,-19.027315310091364,-0.0021998796112631604,-0.4080594108830622,46.800000000000004,99919.44280296941,training,QQQ,20250925_145009
1.2,both,525,0.003855826889033778,-24.838233344112485,-17.591347543363042,-0.001769385159692942,-0.016207487934564713,50.28571428571429,100003.85582688903,training,QQQ,20250925_145009
1.2,buy,275,0.08043326791962317,-21.928911201312104,-16.772947602437018,-0.0007063031150079816,1.2466436106375878,54.54545454545454,100080.43326791962,training,QQQ,20250925_145009
1.2,sell,250,-0.0765774410305894,-28.358112124426146,-18.49048362117976,-0.0021526632657696836,-0.4061420250091835,45.6,99923.42255896941,training,QQQ,20250925_145009
1.5,both,525,-0.012093944391905097,-24.399278373773992,-17.01852472421654,-0.001755166010232807,-0.06689971918712646,49.904761904761905,99987.9060556081,training,QQQ,20250925_145009
1.5,buy,275,0.08711376263867715,-21.756236769735025,-16.174218255872812,-0.000655020494913412,1.438052444194393,54.18181818181819,100087.11376263868,training,QQQ,20250925_145009
1.5,sell,250,-0.09920770703058224,-27.4341908865922,-17.93804114208483,-0.0021079362256870857,-0.5354063041773988,45.2,99900.79229296942,training,QQQ,20250925_145009
1.8,both,525,-0.017207975901997997,-24.51838456339618,-16.81955139679855,-0.0019176066881079219,-0.08033648482072414,49.523809523809526,99982.792024098,training,QQQ,20250925_145009
1.8,buy,275,0.097614743128579,-21.64778248576984,-15.84355557225481,-0.0006129137014504652,1.6944287727811682,54.18181818181819,100097.61474312858,training,QQQ,20250925_145009
1.8,sell,250,-0.11482271903059155,-27.832815188538984,-17.900047069521058,-0.002259800807682627,-0.5805458932914744,44.4,99885.17728096941,training,QQQ,20250925_145009
2.0,both,525,-0.02970346797398815,-24.627599261768005,-16.809924563117246,-0.0019126556476844897,-0.1161604524731709,49.333333333333336,99970.29653202601,training,QQQ,20250925_145009
2.0,buy,275,0.07260062305659812,-21.96462128923257,-16.128997313219955,-0.0007299123700643769,1.107619387615784,53.81818181818182,100072.6006230566,training,QQQ,20250925_145009
2.0,sell,250,-0.10230409103058628,-27.6904690023266,-17.530993676807217,-0.0022116007974167864,-0.5435503183517544,44.4,99897.69590896941,training,QQQ,20250925_145009
2.2,both,525,-0.013158658047177595,-24.49952613958645,-16.507068384365333,-0.0018516645481308075,-0.06214070115140277,49.333333333333336,99986.84134195282,training,QQQ,20250925_145009
2.2,buy,275,0.08383712898341764,-21.84814753832619,-15.847356197639217,-0.0007125688785123843,1.2796183169888729,53.81818181818182,100083.83712898342,training,QQQ,20250925_145009
2.2,sell,250,-0.09699578703058068,-27.54514719321622,-17.19752843381813,-0.00214290283632985,-0.508889534987139,44.4,99903.00421296942,training,QQQ,20250925_145009
2.5,both,525,-0.020454214645855246,-24.542721993644655,-16.50685458627437,-0.0018972345647104345,-0.07914175799173581,49.333333333333336,99979.54578535414,training,QQQ,20250925_145009
2.5,buy,275,0.08308433238473663,-21.85775129017522,-15.786218945818737,-0.0008391209609811068,1.0783810561448048,53.81818181818182,100083.08433238474,training,QQQ,20250925_145009
2.5,sell,250,-0.10353854703057733,-27.630370864381682,-17.26814810655709,-0.002116485633313694,-0.5465232923409191,44.4,99896.46145296942,training,QQQ,20250925_145009
2.8,both,525,-0.008051657476491529,-24.47306843266877,-16.313027869257493,-0.0019232883093909666,-0.047056527185768124,49.333333333333336,99991.94834252351,training,QQQ,20250925_145009
2.8,buy,275,0.08948869555410056,-21.791724568203637,-15.597851317508,-0.0008390673093423373,1.148653732938697,53.81818181818182,100089.4886955541,training,QQQ,20250925_145009
2.8,sell,250,-0.09754035303057754,-27.55281216166122,-17.063108596151157,-0.0021317062515428605,-0.5141474967764958,44.4,99902.45964696942,training,QQQ,20250925_145009
3.0,both,525,-0.007885043354108348,-24.47239070802509,-16.30348655549063,-0.0019232851102432894,-0.046639992408898115,49.333333333333336,99992.11495664589,training,QQQ,20250925_145009
3.0,buy,275,0.08723622367647477,-21.81513580708573,-15.656628833426014,-0.0008390861783213127,1.123937220878235,53.81818181818182,100087.23622367647,training,QQQ,20250925_145009
3.0,sell,250,-0.09512126703058311,-27.521412730444297,-16.97313152173163,-0.002131654731725594,-0.5026761853470854,44.4,99904.87873296942,training,QQQ,20250925_145009
3.5,both,525,-0.005527619354106719,-24.459134830644505,-16.25515674775278,-0.0019232398466725205,-0.0407463299820967,49.333333333333336,99994.4723806459,training,QQQ,20250925_145009
3.5,buy,275,0.09532257367647254,-21.731724241840674,-15.39821146506656,-0.0008390184428300783,1.2126741906444218,53.81818181818182,100095.32257367647,training,QQQ,20250925_145009
3.5,sell,250,-0.10085019303057924,-27.595794237149565,-17.175168918159425,-0.002131776745982155,-0.5298418610072444,44.4,99899.14980696942,training,QQQ,20250925_145009
4.0,both,525,0.0025587306458910463,-24.413562402353495,-16.101157509699956,-0.00192308460139341,-0.020528543604726432,49.333333333333336,100002.55873064589,training,QQQ,20250925_145009
4.0,buy,275,0.10340892367647028,-21.648299671516995,-15.119542168821733,-0.0008389507182743441,1.3014248973466536,53.81818181818182,100103.40892367647,training,QQQ,20250925_145009
4.0,sell,250,-0.10085019303057924,-27.595794237149565,-17.175168918159425,-0.002131776745982155,-0.5298418610072444,44.4,99899.14980696942,training,QQQ,20250925_145009
